G,Date,season_end,Type,TEAM,Opponent,Conf,Tm,Opp,Won,OT,W,L,Streak,Arena
30,2011-03-01,2011,REG,Ohio State,Penn State,Big Ten,82,61,True,,28,2,W 3,Bryce Jordan Center
31,2011-03-06,2011,REG,Ohio State,Wisconsin,Big Ten,93,65,True,,29,2,W 4,Value City Arena
32,2011-03-11,2011,CTOURN,Ohio State,Northwestern,Big Ten,67,61,True,OT,30,2,W 5,
33,2011-03-12,2011,CTOURN,Ohio State,Michigan,Big Ten,68,61,True,,31,2,W 6,
34,2011-03-13,2011,CTOURN,Ohio State,Penn State,Big Ten,71,60,True,,32,2,W 7,
35,2011-03-18,2011,NCAA,Ohio State,Texas-San Antonio,Southland,75,46,True,,33,2,W 8,Quicken Loans Arena
36,2011-03-20,2011,NCAA,Ohio State,George Mason,CAA,98,66,True,,34,2,W 9,Quicken Loans Arena
37,2011-03-25,2011,NCAA,Ohio State,Kentucky,SEC,60,62,False,,34,3,L 1,Prudential Center
1,2011-11-11,2012,REG,Ohio State,Wright State,Horizon,73,42,True,,1,0,W 1,Value City Arena
2,2011-11-15,2012,REG,Ohio State,Florida,SEC,81,74,True,,2,0,W 2,Value City Arena
3,2011-11-18,2012,REG,Ohio State,Jackson State,SWAC,85,41,True,,3,0,W 3,Value City Arena
4,2011-11-21,2012,REG,Ohio State,North Florida,A-Sun,85,50,True,,4,0,W 4,Value City Arena
5,2011-11-23,2012,REG,Ohio State,Virginia Military Institute,Big South,107,74,True,,5,0,W 5,Value City Arena
6,2011-11-25,2012,REG,Ohio State,Valparaiso,Horizon,80,47,True,,6,0,W 6,Value City Arena
7,2011-11-29,2012,REG,Ohio State,Duke,ACC,85,63,True,,7,0,W 7,Value City Arena
8,2011-12-03,2012,REG,Ohio State,Texas-Rio Grande Valley,GWC,64,35,True,,8,0,W 8,Value City Arena
9,2011-12-10,2012,REG,Ohio State,Kansas,Big 12,67,78,False,,8,1,L 1,Allen Fieldhouse
10,2011-12-14,2012,REG,Ohio State,South Carolina Upstate,A-Sun,82,58,True,,9,1,W 1,Value City Arena
11,2011-12-17,2012,REG,Ohio State,South Carolina,SEC,74,66,True,,10,1,W 2,The Colonial Life Arena
12,2011-12-20,2012,REG,Ohio State,Lamar,Southland,70,50,True,,11,1,W 3,Value City Arena
13,2011-12-22,2012,REG,Ohio State,Miami (OH),MAC,69,40,True,,12,1,W 4,Value City Arena
14,2011-12-28,2012,REG,Ohio State,Northwestern,Big Ten,87,54,True,,13,1,W 5,Value City Arena
15,2011-12-31,2012,REG,Ohio State,Indiana,Big Ten,70,74,False,,13,2,L 1,Assembly Hall
16,2012-01-03,2012,REG,Ohio State,Nebraska,Big Ten,71,40,True,,14,2,W 1,Value City Arena
17,2012-01-07,2012,REG,Ohio State,Iowa,Big Ten,76,47,True,,15,2,W 2,Carver-Hawkeye Arena
18,2012-01-10,2012,REG,Ohio State,Illinois,Big Ten,74,79,False,,15,3,L 1,Assembly Hall
19,2012-01-15,2012,REG,Ohio State,Indiana,Big Ten,80,63,True,,16,3,W 1,Value City Arena
20,2012-01-21,2012,REG,Ohio State,Nebraska,Big Ten,79,45,True,,17,3,W 2,Bob Devaney Sports Center
21,2012-01-25,2012,REG,Ohio State,Penn State,Big Ten,78,54,True,,18,3,W 3,Value City Arena
22,2012-01-29,2012,REG,Ohio State,Michigan,Big Ten,64,49,True,,19,3,W 4,Value City Arena
23,2012-02-04,2012,REG,Ohio State,Wisconsin,Big Ten,58,52,True,,20,3,W 5,Kohl Center
24,2012-02-07,2012,REG,Ohio State,Purdue,Big Ten,87,84,True,,21,3,W 6,Value City Arena
25,2012-02-11,2012,REG,Ohio State,Michigan State,Big Ten,48,58,False,,21,4,L 1,Value City Arena
26,2012-02-14,2012,REG,Ohio State,Minnesota,Big Ten,78,68,True,,22,4,W 1,Williams Arena
27,2012-02-18,2012,REG,Ohio State,Michigan,Big Ten,51,56,False,,22,5,L 1,Crisler Arena
28,2012-02-21,2012,REG,Ohio State,Illinois,Big Ten,83,67,True,,23,5,W 1,Value City Arena
29,2012-02-26,2012,REG,Ohio State,Wisconsin,Big Ten,60,63,False,,23,6,L 1,Value City Arena
30,2012-02-29,2012,REG,Ohio State,Northwestern,Big Ten,75,73,True,,24,6,W 1,Welsh-Ryan Arena
31,2012-03-04,2012,REG,Ohio State,Michigan State,Big Ten,72,70,True,,25,6,W 2,Breslin Events Center
32,2012-03-09,2012,CTOURN,Ohio State,Purdue,Big Ten,88,71,True,,26,6,W 3,
33,2012-03-10,2012,CTOURN,Ohio State,Michigan,Big Ten,77,55,True,,27,6,W 4,Conseco Fieldhouse
34,2012-03-11,2012,CTOURN,Ohio State,Michigan State,Big Ten,64,68,False,,27,7,L 1,
35,2012-03-15,2012,NCAA,Ohio State,Loyola (MD),MAAC,78,59,True,,28,7,W 1,CONSOL Energy Center
36,2012-03-17,2012,NCAA,Ohio State,Gonzaga,WCC,73,66,True,,29,7,W 2,CONSOL Energy Center
37,2012-03-22,2012,NCAA,Ohio State,Cincinnati,Big East,81,66,True,,30,7,W 3,TD Garden
38,2012-03-24,2012,NCAA,Ohio State,Syracuse,Big East,77,70,True,,31,7,W 4,TD Garden
39,2012-03-31,2012,NCAA,Ohio State,Kansas,Big 12,62,64,False,,31,8,L 1,Louisiana Superdome
1,2012-11-11,2013,REG,Ohio State,Albany (NY),AEC,82,60,True,,1,0,W 1,Value City Arena
2,2012-11-17,2013,REG,Ohio State,Rhode Island,A-10,69,58,True,,2,0,W 2,Mohegan Sun Arena
3,2012-11-18,2013,REG,Ohio State,Washington,Pac-12,77,66,True,,3,0,W 3,Mohegan Sun Arena
4,2012-11-23,2013,REG,Ohio State,Missouri-Kansas City,Summit,91,45,True,,4,0,W 4,Value City Arena
5,2012-11-28,2013,REG,Ohio State,Duke,ACC,68,73,False,,4,1,L 1,Cameron Indoor Stadium
6,2012-12-01,2013,REG,Ohio State,Northern Kentucky,A-Sun,70,43,True,,5,1,W 1,Value City Arena
7,2012-12-08,2013,REG,Ohio State,Cal State Long Beach,Big West,89,55,True,,6,1,W 2,Value City Arena
8,2012-12-12,2013,REG,Ohio State,Savannah State,MEAC,85,45,True,,7,1,W 3,Value City Arena
9,2012-12-15,2013,REG,Ohio State,North Carolina-Asheville,Big South,90,72,True,,8,1,W 4,Value City Arena
10,2012-12-18,2013,REG,Ohio State,Winthrop,Big South,65,55,True,,9,1,W 5,Value City Arena
11,2012-12-22,2013,REG,Ohio State,Kansas,Big 12,66,74,False,,9,2,L 1,Value City Arena
12,2012-12-29,2013,REG,Ohio State,Chicago State,GWC,87,44,True,,10,2,W 1,Value City Arena
13,2013-01-02,2013,REG,Ohio State,Nebraska,Big Ten,70,44,True,,11,2,W 2,Value City Arena
14,2013-01-05,2013,REG,Ohio State,Illinois,Big Ten,55,74,False,,11,3,L 1,Assembly Hall
15,2013-01-08,2013,REG,Ohio State,Purdue,Big Ten,74,64,True,,12,3,W 1,Mackey Arena
16,2013-01-13,2013,REG,Ohio State,Michigan,Big Ten,56,53,True,,13,3,W 2,Value City Arena
17,2013-01-19,2013,REG,Ohio State,Michigan State,Big Ten,56,59,False,,13,4,L 1,Breslin Events Center
18,2013-01-22,2013,REG,Ohio State,Iowa,Big Ten,72,63,True,,14,4,W 1,Value City Arena
19,2013-01-26,2013,REG,Ohio State,Penn State,Big Ten,65,51,True,,15,4,W 2,Bryce Jordan Center
20,2013-01-29,2013,REG,Ohio State,Wisconsin,Big Ten,58,49,True,,16,4,W 3,Value City Arena
21,2013-02-02,2013,REG,Ohio State,Nebraska,Big Ten,63,56,True,,17,4,W 4,Bob Devaney Sports Center
22,2013-02-05,2013,REG,Ohio State,Michigan,Big Ten,74,76,False,OT,17,5,L 1,Crisler Arena
23,2013-02-10,2013,REG,Ohio State,Indiana,Big Ten,68,81,False,,17,6,L 2,Value City Arena
24,2013-02-14,2013,REG,Ohio State,Northwestern,Big Ten,69,59,True,,18,6,W 1,Value City Arena
25,2013-02-17,2013,REG,Ohio State,Wisconsin,Big Ten,49,71,False,,18,7,L 1,Kohl Center
26,2013-02-20,2013,REG,Ohio State,Minnesota,Big Ten,71,45,True,,19,7,W 1,Value City Arena
27,2013-02-24,2013,REG,Ohio State,Michigan State,Big Ten,68,60,True,,20,7,W 2,Value City Arena
28,2013-02-28,2013,REG,Ohio State,Northwestern,Big Ten,63,53,True,,21,7,W 3,Welsh-Ryan Arena
29,2013-03-05,2013,REG,Ohio State,Indiana,Big Ten,67,58,True,,22,7,W 4,Assembly Hall
30,2013-03-10,2013,REG,Ohio State,Illinois,Big Ten,68,55,True,,23,7,W 5,Value City Arena
31,2013-03-15,2013,CTOURN,Ohio State,Nebraska,Big Ten,71,50,True,,24,7,W 6,United Center
32,2013-03-16,2013,CTOURN,Ohio State,Michigan State,Big Ten,61,58,True,,25,7,W 7,United Center
33,2013-03-17,2013,CTOURN,Ohio State,Wisconsin,Big Ten,50,43,True,,26,7,W 8,
34,2013-03-22,2013,NCAA,Ohio State,Iona,MAAC,95,70,True,,27,7,W 9,University of Dayton Arena
35,2013-03-24,2013,NCAA,Ohio State,Iowa State,Big 12,78,75,True,,28,7,W 10,University of Dayton Arena
36,2013-03-28,2013,NCAA,Ohio State,Arizona,Pac-12,73,70,True,,29,7,W 11,Staples Center
37,2013-03-30,2013,NCAA,Ohio State,Wichita State,MVC,66,70,False,,29,8,L 1,Staples Center
1,2013-11-09,2014,REG,Ohio State,Morgan State,MEAC,89,50,True,,1,0,W 1,Value City Arena
2,2013-11-12,2014,REG,Ohio State,Ohio,MAC,79,69,True,,2,0,W 2,Value City Arena
3,2013-11-16,2014,REG,Ohio State,Marquette,Big East,52,35,True,,3,0,W 3,Bradley Center
4,2013-11-20,2014,REG,Ohio State,American,Patriot,63,52,True,,4,0,W 4,Value City Arena
5,2013-11-25,2014,REG,Ohio State,Wyoming,MWC,65,50,True,,5,0,W 5,Value City Arena
6,2013-11-29,2014,REG,Ohio State,North Florida,A-Sun,99,64,True,,6,0,W 6,Value City Arena
7,2013-12-04,2014,REG,Ohio State,Maryland,ACC,76,60,True,,7,0,W 7,Value City Arena
8,2013-12-07,2014,REG,Ohio State,Central Connecticut State,NEC,74,56,True,,8,0,W 8,Value City Arena
9,2013-12-11,2014,REG,Ohio State,Bryant,NEC,86,48,True,,9,0,W 9,Value City Arena
10,2013-12-14,2014,REG,Ohio State,North Dakota State,Summit,79,62,True,,10,0,W 10,Value City Arena
11,2013-12-18,2014,REG,Ohio State,Delaware,CAA,76,64,True,,11,0,W 11,Value City Arena
12,2013-12-21,2014,REG,Ohio State,Notre Dame,ACC,64,61,True,,12,0,W 12,Madison Square Garden (IV)
13,2013-12-27,2014,REG,Ohio State,Louisiana-Monroe,Sun Belt,71,31,True,,13,0,W 13,Value City Arena
14,2013-12-31,2014,REG,Ohio State,Purdue,Big Ten,78,69,True,,14,0,W 14,Mackey Arena
15,2014-01-04,2014,REG,Ohio State,Nebraska,Big Ten,84,53,True,,15,0,W 15,Value City Arena
16,2014-01-07,2014,REG,Ohio State,Michigan State,Big Ten,68,72,False,OT,15,1,L 1,Breslin Events Center
17,2014-01-12,2014,REG,Ohio State,Iowa,Big Ten,74,84,False,,15,2,L 2,Value City Arena
18,2014-01-16,2014,REG,Ohio State,Minnesota,Big Ten,53,63,False,,15,3,L 3,Williams Arena
19,2014-01-20,2014,REG,Ohio State,Nebraska,Big Ten,62,68,False,,15,4,L 4,Pinnacle Bank Arena
20,2014-01-23,2014,REG,Ohio State,Illinois,Big Ten,62,55,True,,16,4,W 1,Value City Arena
21,2014-01-29,2014,REG,Ohio State,Penn State,Big Ten,70,71,False,OT,16,5,L 1,Value City Arena
22,2014-02-01,2014,REG,Ohio State,Wisconsin,Big Ten,59,58,True,,17,5,W 1,Kohl Center
23,2014-02-04,2014,REG,Ohio State,Iowa,Big Ten,76,69,True,,18,5,W 2,Carver-Hawkeye Arena
24,2014-02-08,2014,REG,Ohio State,Purdue,Big Ten,67,49,True,,19,5,W 3,Value City Arena
25,2014-02-11,2014,REG,Ohio State,Michigan,Big Ten,60,70,False,,19,6,L 1,Value City Arena
26,2014-02-15,2014,REG,Ohio State,Illinois,Big Ten,48,39,True,,20,6,W 1,Assembly Hall
27,2014-02-19,2014,REG,Ohio State,Northwestern,Big Ten,76,60,True,,21,6,W 2,Value City Arena
28,2014-02-22,2014,REG,Ohio State,Minnesota,Big Ten,64,46,True,,22,6,W 3,Value City Arena
29,2014-02-27,2014,REG,Ohio State,Penn State,Big Ten,63,65,False,,22,7,L 1,Bryce Jordan Center
30,2014-03-02,2014,REG,Ohio State,Indiana,Big Ten,64,72,False,,22,8,L 2,Assembly Hall
31,2014-03-09,2014,REG,Ohio State,Michigan State,Big Ten,69,67,True,,23,8,W 1,Value City Arena
32,2014-03-13,2014,CTOURN,Ohio State,Purdue,Big Ten,63,61,True,,24,8,W 2,
33,2014-03-14,2014,CTOURN,Ohio State,Nebraska,Big Ten,71,67,True,,25,8,W 3,Conseco Fieldhouse
